fold,date,y_true_class,y_true_price
1,2006-01-19,1,567.25
1,2006-01-20,1,554.5
1,2006-01-23,0,557.25
1,2006-01-24,1,561.75
1,2006-01-25,1,561.75
1,2006-01-27,0,569.75
1,2006-02-06,1,558.70000000000005
1,2006-02-07,0,548.75
1,2006-02-08,0,557
1,2006-02-10,1,549.29999999999995
1,2006-02-13,0,539.70000000000005
1,2006-02-14,0,538.75
1,2006-02-16,0,551.70000000000005
1,2006-02-17,1,554
1,2006-02-21,1,553
1,2006-02-22,0,551.20000000000005
1,2006-02-23,0,554.14999999999998
1,2006-02-24,1,553.25
1,2006-02-27,0,556
1,2006-02-28,1,564.25
1,2006-03-01,1,563.75
1,2006-03-02,0,565
1,2006-03-03,1,565.25
1,2006-03-06,1,553
1,2006-03-07,0,544.75
1,2006-03-08,0,550.10000000000002
1,2006-03-09,1,535
1,2006-03-10,0,543.5
1,2006-03-13,1,545.79999999999995
1,2006-03-14,1,552.75
1,2006-03-16,1,552.75
1,2006-03-17,0,555.75
1,2006-03-20,1,550.75
1,2006-03-22,0,546.5
1,2006-03-23,0,556.75
1,2006-03-24,1,565
1,2006-03-27,1,567.5
1,2006-03-28,1,565
1,2006-03-29,0,582
1,2006-03-31,1,587
1,2006-04-03,1,588
1,2006-04-04,1,586.5
1,2006-04-05,0,589.75
1,2006-04-07,1,597.25
1,2006-04-10,1,597.25
1,2006-04-12,0,593
1,2006-04-13,0,614.75
1,2006-04-18,1,624.75
1,2006-04-19,1,625
1,2006-04-20,1,623.5
1,2006-04-21,0,622.5
1,2006-04-24,0,634.75
1,2006-04-25,1,635.5
1,2006-04-26,1,638
1,2006-04-27,1,644
1,2006-04-28,1,675.5
1,2006-05-08,1,691.25
1,2006-05-09,1,699.89999999999998
1,2006-05-10,1,715.5
1,2006-05-11,1,725
1,2006-05-12,1,687.5
1,2006-05-15,0,692
1,2006-05-16,1,699.5
1,2006-05-17,1,693.5
1,2006-05-18,0,651.5
1,2006-05-19,0,652.5
1,2006-05-22,1,666.75
1,2006-05-23,1,648.5
1,2006-05-24,0,642.5
1,2006-05-25,0,642.25
1,2006-05-26,0,660.5
1,2006-05-30,1,653
1,2006-05-31,0,625
1,2006-06-01,0,632.25
1,2006-06-02,1,641.79999999999995
1,2006-06-05,1,627
1,2006-06-06,0,617.75
1,2006-06-07,0,614
1,2006-06-08,0,616
1,2006-06-09,1,609.20000000000005
1,2006-06-12,0,586.5
1,2006-06-13,0,567.75
1,2006-06-14,0,569.5
1,2006-06-15,1,574
1,2006-06-16,1,571
1,2006-06-19,0,567
1,2006-06-20,0,574.60000000000002
1,2006-06-21,1,584.5
1,2006-06-22,1,579.60000000000002
1,2006-06-23,0,583.5
1,2006-06-26,1,588.75
1,2006-06-27,1,582.75
1,2006-06-28,0,589.25
1,2006-06-29,1,613.5
1,2006-06-30,1,622.95000000000005
1,2006-07-03,1,623
1,2006-07-05,1,626
1,2006-07-06,1,631.5
1,2006-07-07,1,626
1,2006-07-10,0,630.75
1,2006-07-11,1,650
1,2006-07-12,1,649.5
1,2006-07-13,0,663.25
1,2006-07-14,1,645
1,2006-07-18,0,641.60000000000002
1,2006-07-19,0,642.5
1,2006-07-20,1,634
1,2006-07-21,0,605.70000000000005
1,2006-07-24,0,618.75
1,2006-07-25,1,614.29999999999995
1,2006-07-26,0,639
1,2006-07-27,1,637.10000000000002
1,2006-07-28,0,632.5
1,2006-07-31,0,637.25
1,2006-08-01,1,654.39999999999998
1,2006-08-02,1,644.39999999999998
1,2006-08-03,0,652.25
1,2006-08-04,1,649.75
1,2006-08-07,0,646
1,2006-08-08,0,649
1,2006-08-09,1,644.75
1,2006-08-10,0,644.5
1,2006-08-11,0,624.60000000000002
1,2006-08-14,0,629.75
1,2006-08-16,1,625.5
1,2006-08-17,0,613.89999999999998
1,2006-08-18,0,625
1,2006-08-21,1,622.75
1,2006-08-22,0,628.10000000000002
1,2006-08-23,1,623.75
1,2006-08-24,0,621.25
1,2006-08-25,0,613.39999999999998
1,2006-08-29,0,617.75
1,2006-08-30,1,623.5
1,2006-08-31,1,621.04999999999995
