model,fold,n,rmse_usd_per_oz,mape_percent
BFNE-Net,1,736,35.91635700583593,2.902001537533885
BFNE-Net,2,736,101.61037363503527,6.237407917360105
BFNE-Net,3,736,24.499967899894727,1.5404435918622756
BFNE-Net,4,736,66.86994547741648,2.08207929346787
BFNE-Net,5,736,65.16408319669185,2.4982311311482266
BFNE-Net without FCNNs,1,736,38.84274163869058,3.528771033011972
BFNE-Net without FCNNs,2,736,189.98236951275047,9.425604975719688
BFNE-Net without FCNNs,3,736,21.75809222619131,1.3588683206139285
BFNE-Net without FCNNs,4,736,102.00822190049506,2.2936901443037963
BFNE-Net without FCNNs,5,736,314.381817487187,9.007858869897728
Random Forest,1,736,263.5292408456901,27.371998847369937
Random Forest,2,736,556.4383442188872,32.69508735237488
Random Forest,3,736,35.10885583585628,2.3256605386061286
Random Forest,4,736,67.00423721387233,2.1786595772063584
Random Forest,5,736,151.50182327554913,3.4559130032016885
XGBoost,1,736,264.46536627797184,27.805397348070755
XGBoost,2,736,562.412756497686,33.10342454228197
XGBoost,3,736,29.86567815690344,1.9085068616740173
XGBoost,4,736,81.83635789186803,2.7005554259974374
XGBoost,5,736,165.43257387297362,3.9509933297584747
LightGBM,1,736,275.68588061016527,29.196710429161122
LightGBM,2,736,556.1412068146428,32.75264894203846
LightGBM,3,736,35.48482124934022,2.2090024715943875
LightGBM,4,736,68.03269774791916,2.220177989716637
LightGBM,5,736,162.22852212836025,3.809646292964744
