model,fold,mean,scale,rmse_usd_per_oz,mape_percent,training_fold_scaler_matches,max_price_reconstruction_error
BFNE-Net,1,386.9917456021651,56.30540164071073,35.91635700583593,2.902001537533885,True,0.0
BFNE-Net,2,572.7433898305085,213.44732455898904,101.61037363503527,6.237407917360105,True,0.0
BFNE-Net,3,867.1025554047942,471.26605156560663,24.499967899894727,1.5404435918622756,True,0.0
BFNE-Net,4,960.2971326772989,440.72417224238416,66.86994547741648,2.08207929346787,True,0.0
BFNE-Net,5,1058.2191420038014,452.6761575902682,65.16408319669185,2.4982311311482266,True,0.0
BFNE-Net without FCNNs,1,386.9917456021651,56.30540164071073,38.84274163869058,3.528771033011972,True,0.0
BFNE-Net without FCNNs,2,572.7433898305085,213.44732455898904,189.98236951275047,9.425604975719688,True,0.0
BFNE-Net without FCNNs,3,867.1025554047942,471.26605156560663,21.75809222619131,1.3588683206139285,True,0.0
BFNE-Net without FCNNs,4,960.2971326772989,440.72417224238416,102.00822190049506,2.2936901443037963,True,0.0
BFNE-Net without FCNNs,5,1058.2191420038014,452.6761575902682,314.381817487187,9.007858869897728,True,0.0
